,timestamp,lat,lon,vehicle_speed,accel_x,accel_y,accel_z,engine_rpm,mass_air_flow,absolute_throttle_pos,fuel_level,gps_speed,fuel_rate,alcohol_fuel_percentage,fuel_level_a,source,day,vehicle,trajectory,number_route,id_route,time_sec,x,y,raio_curvatura,curvatura,curva,sinal_curvatura,distancia_acumulada,instant_fuel_economy,calculated_load_value,fuel_rail_pressure,fuel_remaining,fuel_rail_pressure_vacuum,accelerator_pos_d,accelerator_pos_e,ctp_accel,abs_accel,conducao,aceleracao_anormal,direcao_perigosa,zigue_zague,theta,id_janela
0,2024-12-10 09:57:01.535,-22.93086,-43.97891,68.0,0.3630156,0.3824453,-0.1949017,2012.25,26.33,82.35294,70.19608,68.1357,8.762434,34.90196,9.827451,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,0.006,0.0,0.0,1473.0317650913441,0.0006788719861299047,False,-1.0,0.0,,,,,,,,0.242214819742645,0.5621667065900826,Segura,False,False,False,-1.8219238900946226,1
1,2024-12-10 09:57:02.942,-22.93093,-43.97915,70.0,-0.4330871,0.1748078,0.1650781,2078.75,27.53,83.92157,70.19608,70.43199,9.161785,34.90196,9.827451,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,1.413,-24.577871382946444,-7.7836448651271155,1440.3912578690044,0.0006942558103826984,False,-1.0,25.78094042317071,,,,,,,,0.26248869374037204,0.49535137248912514,Segura,False,False,False,-1.8219238900946226,1
2,2024-12-10 09:57:03.944,-22.93096,-43.97928,71.0,-0.06360979,0.01824542,0.09063318,2143.75,28.7,38.03922,72.54902,71.92273,9.551153,34.90196,10.15686,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,2.415,-37.890880852925235,-11.119492664568353,1393.4443573662595,0.0007176461655706826,False,-1.0,39.505520623992226,,,,,,,,0.27913999387668287,0.11222064895433861,Segura,False,False,False,-1.8219238900946226,1
3,2024-12-10 09:57:04.940,-22.93102,-43.97949,72.0,0.2412506,0.2341229,1.493305,2104.75,18.2,34.90196,72.54902,73.17995,6.056828,34.90196,10.15686,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,3.411,-59.3965027743987,-17.79118826345083,1374.6965182816477,0.00072743328196538,False,-1.0,62.022254321256305,,,,,,,,0.290973312786152,1.530678022096669,Segura,False,False,False,-1.8219238900946226,1
4,2024-12-10 09:57:05.942,-22.93108,-43.97971,72.0,0.4403362,-0.6986607,-1.040103,1605.5,18.39,36.47059,72.54902,73.9052,6.120059,34.90196,10.15686,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,4.413,-81.92619257577286,-24.462883861979645,1422.8765044487525,0.0007028016815749008,False,-1.0,85.51902951926107,,,,,,,,0.2811206726299603,1.3280952501096939,Segura,False,False,False,-1.8219238900946226,1
5,2024-12-10 09:57:06.943,-22.93112,-43.97992,74.0,-0.6395196,-0.3734715,-0.2536307,1663.75,21.4,38.43137,72.54902,74.2288,7.121766,34.90196,10.15686,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,5.414,-103.4318028532317,-28.91068092766552,1510.1534841400144,0.0006621843478177776,False,-1.0,107.47977113113444,,,,,,,,0.2797933247415239,0.7828121179944137,Segura,False,False,False,-1.8219238900946226,1
6,2024-12-10 09:57:08.912,-22.93121,-43.98032,74.0,0.02417885,-0.5942839,-0.9322067,1674.75,6.96,26.66667,69.80392,75.09319,2.316238,34.90196,9.772549,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,7.383,-144.39484511440577,-38.91822432563558,1472.9753675765476,0.0006788979788883211,False,-1.0,149.6475521511619,,,,,,,,0.28685534972163934,1.105788090961113,Segura,False,False,False,-1.8219238900946226,1
7,2024-12-10 09:57:09.940,-22.93125,-43.98053,74.0,0.8180009,0.587869,0.09731546,1644.75,7.38,28.62745,69.80392,74.12915,2.456011,34.90196,9.772549,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,8.411,-165.90043584540933,-43.36602139132145,1183.017785593159,0.0008452958291735277,False,1.0,171.60827462167617,,,,,,,,0.35716357720325903,1.0120206185235663,Segura,False,False,False,-1.8219238900946226,1
8,2024-12-10 09:57:10.958,-22.93129,-43.98073,73.0,-1.464838,-0.266839,0.0687209,1666.75,7.3,28.62745,67.45098,74.05231,2.429387,34.90196,9.443137,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,9.429,-186.3819436113559,-47.81381845736099,821.794592043427,0.0012168490881808527,True,1.0,192.56716436104927,,,,,,,,0.50035407337313,1.490528758616153,Segura,False,False,False,-1.8219238900946226,1
47,2024-12-10 09:57:51.946,-22.93402,-43.98787,74.0,0.02378741,0.1379795,-0.3007129,1601.25,4.64,23.92157,64.70588,74.01467,1.544158,34.90196,9.058824,obd,15,spin,trajeto,t1,obd-15-spin-trajeto-t1,50.417,-917.563397202516,-351.37596819696483,766.1129133566311,0.0013052906204369026,True,1.0,1035.1132265974884,,,,,,,,0.5515255738821355,0.3317113677900836,Segura,False,False,False,-1.4388609656449587,6
